"firstname","lastname","dob","series_name","series_type","patient_name_new"
"Carol","Marcus","March 27, 1979","Star Trek","Movie","Marcus, Carol"
"David","Marcus","June 12, 1976","Star Trek","Movie","Marcus, David"
"Montgomery","Scott","May 23, 2005","Star Trek","Movie","Scott, Montgomery"
"Janice","Rand","August 04, 2003","Star Trek","Movie","Rand, Janice"
"Gabriel","Lorca","October 23, 1998","Star Trek","Movie","Lorca, Gabriel"
"Ash","Tyler","June 01, 1980","Star Trek","Movie","Tyler, Ash"
"Philippa","Georgiou","January 02, 1972","Star Trek","Movie","Georgiou, Philippa"
"Jet","Reno","August 26, 1971","Star Trek","Movie","Reno, Jet"
"Raffi","Musiker","September 13, 1989","Star Trek","Movie","Musiker, Raffi"
"Agnes","Jurati","August 03, 1976","Star Trek","Movie","Jurati, Agnes"
"Cristobal","Rios","June 16, 2000","Star Trek","Movie","Rios, Cristobal"
"Jonathan","Archer","August 01, 1991","Star Trek","Movie","Archer, Jonathan"
"Charles","Tucker","August 24, 2000","Star Trek","Movie","Tucker, Charles"
"Malcolm","Reed","July 05, 1999","Star Trek","Movie","Reed, Malcolm"
"Hoshi","Sato","January 26, 2001","Star Trek","Movie","Sato, Hoshi"
"Travis","Mayweather","October 04, 1992","Star Trek","Movie","Mayweather, Travis"
"Garth","of Izar","November 04, 1977","Star Trek","Movie","of Izar, Garth"
"Gary","Mitchell","July 01, 1972","Star Trek","Movie","Mitchell, Gary"
"Elizabeth","Dehner","December 26, 1995","Star Trek","Movie","Dehner, Elizabeth"
"Naomi","Wildman","July 21, 1986","Star Trek","Movie","Wildman, Naomi"
"Jake","Sisko","June 09, 1979","Star Trek","Movie","Sisko, Jake"
"Katniss","Everdeen","January 16, 1977","The Hunger Games","Movie","Everdeen, Katniss"
"Peeta","Mellark","August 14, 1971","The Hunger Games","Movie","Mellark, Peeta"
"Gale","Hawthorne","October 08, 1981","The Hunger Games","Movie","Hawthorne, Gale"
"Haymitch","Abernathy","September 09, 1977","The Hunger Games","Movie","Abernathy, Haymitch"
"Effie","Trinket","March 08, 2002","The Hunger Games","Movie","Trinket, Effie"
"Coriolanus","Snow","January 09, 1971","The Hunger Games","Movie","Snow, Coriolanus"
"Primrose","Everdeen","April 14, 1976","The Hunger Games","Movie","Everdeen, Primrose"
"Finnick","Odair","July 04, 1985","The Hunger Games","Movie","Odair, Finnick"
"Johanna","Mason","September 27, 1981","The Hunger Games","Movie","Mason, Johanna"
"Beetee","Latier","April 10, 1982","The Hunger Games","Movie","Latier, Beetee"
"Plutarch","Heavensbee","September 12, 1999","The Hunger Games","Movie","Heavensbee, Plutarch"
"Alma","Coin","July 25, 1977","The Hunger Games","Movie","Coin, Alma"
"Madge","Undersee","March 17, 1984","The Hunger Games","Movie","Undersee, Madge"
"Romulus","Thread","October 03, 1992","The Hunger Games","Movie","Thread, Romulus"
"Seneca","Crane","July 04, 1975","The Hunger Games","Movie","Crane, Seneca"
"Claudius","Templesmith","January 16, 1979","The Hunger Games","Movie","Templesmith, Claudius"
"Caesar","Flickerman","May 03, 1977","The Hunger Games","Movie","Flickerman, Caesar"
"Volumnia","Gaul","December 06, 1983","The Hunger Games","Movie","Gaul, Volumnia"
"Sejanus","Plinth","January 20, 1978","The Hunger Games","Movie","Plinth, Sejanus"
"Lucy","Gray Baird","May 02, 1988","The Hunger Games","Movie","Gray Baird, Lucy"
"Maude","Ivory Baird","December 20, 1970","The Hunger Games","Movie","Ivory Baird, Maude"
"Clemensia","Dovecote","April 27, 1999","The Hunger Games","Movie","Dovecote, Clemensia"
"Lysistrata","Vickers","October 11, 1995","The Hunger Games","Movie","Vickers, Lysistrata"
"Casca","Highbottom","June 04, 1974","The Hunger Games","Movie","Highbottom, Casca"
"Lucky","Flickerman","March 01, 1988","The Hunger Games","Movie","Flickerman, Lucky"
"Strabo","Plinth","July 09, 1974","The Hunger Games","Movie","Plinth, Strabo"
"Billy","Taupe","August 17, 1994","The Hunger Games","Movie","Taupe, Billy"
"Mayfair","Lipp","May 24, 1990","The Hunger Games","Movie","Lipp, Mayfair"
"Arachne","Crane","February 22, 1981","The Hunger Games","Movie","Crane, Arachne"
"Jack","Sparrow","April 10, 1987","Pirates of the Caribbean","Movie","Sparrow, Jack"
"Will","Turner","June 08, 1992","Pirates of the Caribbean","Movie","Turner, Will"
"Elizabeth","Swann","August 11, 1970","Pirates of the Caribbean","Movie","Swann, Elizabeth"
"Hector","Barbossa","September 24, 1980","Pirates of the Caribbean","Movie","Barbossa, Hector"
"James","Norrington","April 12, 1984","Pirates of the Caribbean","Movie","Norrington, James"
"Joshamee","Gibbs","April 03, 1994","Pirates of the Caribbean","Movie","Gibbs, Joshamee"
"Davy","Jones","April 24, 1976","Pirates of the Caribbean","Movie","Jones, Davy"
"Bootstrap Bill","Turner","June 04, 1993","Pirates of the Caribbean","Movie","Turner, Bootstrap Bill"
"Tia","Dalma","November 10, 1972","Pirates of the Caribbean","Movie","Dalma, Tia"
"Cutler","Beckett","July 05, 1998","Pirates of the Caribbean","Movie","Beckett, Cutler"
"Sao","Feng","September 11, 1993","Pirates of the Caribbean","Movie","Feng, Sao"
"Governor Weatherby","Swann","March 28, 1979","Pirates of the Caribbean","Movie","Swann, Governor Weatherby"
"Philip","Swift","October 13, 2000","Pirates of the Caribbean","Movie","Swift, Philip"
"Edward","Teach","March 18, 1993","Pirates of the Caribbean","Movie","Teach, Edward"
"Angelica","Teach","August 12, 1979","Pirates of the Caribbean","Movie","Teach, Angelica"
"Armando","Salazar","July 07, 2001","Pirates of the Caribbean","Movie","Salazar, Armando"
"Henry","Turner","April 01, 1986","Pirates of the Caribbean","Movie","Turner, Henry"
"Carina","Smyth","October 02, 1979","Pirates of the Caribbean","Movie","Smyth, Carina"
"Teague","Sparrow","July 15, 1984","Pirates of the Caribbean","Movie","Sparrow, Teague"
"Margaret","Smyth","February 06, 2004","Pirates of the Caribbean","Movie","Smyth, Margaret"
"Lana","Turner","July 25, 1978","Pirates of the Caribbean","Movie","Turner, Lana"
"Margarita","Swann","June 16, 1984","Pirates of the Caribbean","Movie","Swann, Margarita"
"David","Jones","September 21, 1977","Pirates of the Caribbean","Movie","Jones, David"
"Sarah","Turner","February 24, 1978","Pirates of the Caribbean","Movie","Turner, Sarah"
"William","Turner Sr.","April 07, 1980","Pirates of the Caribbean","Movie","Turner Sr., William"
"Elizabeth","Swann Jr.","June 01, 1980","Pirates of the Caribbean","Movie","Swann Jr., Elizabeth"
"James","Gibbs","December 26, 1980","Pirates of the Caribbean","Movie","Gibbs, James"
"Maria","Barbossa","October 25, 1990","Pirates of the Caribbean","Movie","Barbossa, Maria"
"Thomas","Norrington","March 02, 1972","Pirates of the Caribbean","Movie","Norrington, Thomas"
"Hannah","Gibbs","August 02, 1997","Pirates of the Caribbean","Movie","Gibbs, Hannah"
"Paul","Atreides","July 17, 1975","Dune","Movie","Atreides, Paul"
"Jessica","Atreides","July 13, 2001","Dune","Movie","Atreides, Jessica"
"Leto","Atreides","June 11, 1977","Dune","Movie","Atreides, Leto"
"Gurney","Halleck","July 23, 1986","Dune","Movie","Halleck, Gurney"
"Duncan","Idaho","January 08, 1988","Dune","Movie","Idaho, Duncan"
"Thufir","Hawat","October 27, 1984","Dune","Movie","Hawat, Thufir"
"Vladimir","Harkonnen","January 18, 1986","Dune","Movie","Harkonnen, Vladimir"
"Glossu","Rabban","April 27, 1987","Dune","Movie","Rabban, Glossu"
"Piter","De Vries","May 09, 1979","Dune","Movie","De Vries, Piter"
"Gaius Helen","Mohiam","March 23, 2000","Dune","Movie","Mohiam, Gaius Helen"
"Irulan","Corrino","December 12, 1987","Dune","Movie","Corrino, Irulan"
"Feyd-Rautha","Harkonnen","May 24, 1997","Dune","Movie","Harkonnen, Feyd-Rautha"
"Margot","Fenring","April 23, 2005","Dune","Movie","Fenring, Margot"
"Hasimir","Fenring","February 18, 1974","Dune","Movie","Fenring, Hasimir"
"Wellington","Yueh","November 19, 1981","Dune","Movie","Yueh, Wellington"
"Liet","Kynes","October 09, 1987","Dune","Movie","Kynes, Liet"
"Jon","Snow","June 19, 2004","Game of Thrones","TV","Snow, Jon"
"Daenerys","Targaryen","January 02, 1977","Game of Thrones","TV","Targaryen, Daenerys"
"Tyrion","Lannister","May 04, 1974","Game of Thrones","TV","Lannister, Tyrion"
"Cersei","Lannister","July 03, 1996","Game of Thrones","TV","Lannister, Cersei"
"Jaime","Lannister","October 07, 1984","Game of Thrones","TV","Lannister, Jaime"
"Arya","Stark","February 18, 1976","Game of Thrones","TV","Stark, Arya"
"Sansa","Stark","March 08, 1987","Game of Thrones","TV","Stark, Sansa"
"Bran","Stark","January 07, 1978","Game of Thrones","TV","Stark, Bran"
"Ned","Stark","August 01, 1999","Game of Thrones","TV","Stark, Ned"
"Robert","Baratheon","March 25, 1978","Game of Thrones","TV","Baratheon, Robert"
"Joffrey","Baratheon","November 04, 1971","Game of Thrones","TV","Baratheon, Joffrey"
"Margaery","Tyrell","November 28, 1989","Game of Thrones","TV","Tyrell, Margaery"
"Samwell","Tarly","June 14, 1987","Game of Thrones","TV","Tarly, Samwell"
"Davos","Seaworth","December 23, 1972","Game of Thrones","TV","Seaworth, Davos"
"Petyr","Baelish","December 07, 1972","Game of Thrones","TV","Baelish, Petyr"
"Theon","Greyjoy","July 23, 1992","Game of Thrones","TV","Greyjoy, Theon"
"Yara","Greyjoy","August 01, 1993","Game of Thrones","TV","Greyjoy, Yara"
"Ramsay","Bolton","September 17, 1998","Game of Thrones","TV","Bolton, Ramsay"
"Roose","Bolton","September 10, 1975","Game of Thrones","TV","Bolton, Roose"
"Oberyn","Martell","August 12, 1995","Game of Thrones","TV","Martell, Oberyn"
"Brienne","Tarth","August 16, 2001","Game of Thrones","TV","Tarth, Brienne"
"Sandor","Clegane","July 01, 2001","Game of Thrones","TV","Clegane, Sandor"
"Gregor","Clegane","October 25, 1999","Game of Thrones","TV","Clegane, Gregor"
"Tywin","Lannister","August 22, 1972","Game of Thrones","TV","Lannister, Tywin"
"Olenna","Tyrell","April 03, 1986","Game of Thrones","TV","Tyrell, Olenna"
"Geralt","Rivia","May 23, 1983","The Witcher","Game","Rivia, Geralt"
"Yennefer","Vengerberg","August 20, 1993","The Witcher","Game","Vengerberg, Yennefer"
"Triss","Merigold","June 18, 1979","The Witcher","Game","Merigold, Triss"
"Jaskier","Pankratz","September 03, 1986","The Witcher","Game","Pankratz, Jaskier"
"Vilgefortz","Roggeveen","September 16, 1990","The Witcher","Game","Roggeveen, Vilgefortz"
"Emhyr","Emreis","March 03, 1995","The Witcher","Game","Emreis, Emhyr"
"Percy","Jackson","April 15, 1995","Percy Jackson","Book","Jackson, Percy"
"Annabeth","Chase","December 19, 1994","Percy Jackson","Book","Chase, Annabeth"
"Grover","Underwood","December 22, 1998","Percy Jackson","Book","Underwood, Grover"
"Luke","Castellan","September 20, 1990","Percy Jackson","Book","Castellan, Luke"
"Thalia","Grace","March 23, 1998","Percy Jackson","Book","Grace, Thalia"
"Clarisse","La Rue","August 13, 1974","Percy Jackson","Book","La Rue, Clarisse"
"Nico","di Angelo","December 12, 1992","Percy Jackson","Book","di Angelo, Nico"
"Jason","Grace","June 24, 1977","Percy Jackson","Book","Grace, Jason"
"Piper","McLean","November 23, 1985","Percy Jackson","Book","McLean, Piper"
"Leo","Valdez","November 12, 1999","Percy Jackson","Book","Valdez, Leo"
"Frank","Zhang","January 22, 1984","Percy Jackson","Book","Zhang, Frank"
"Hazel","Levesque","June 10, 1979","Percy Jackson","Book","Levesque, Hazel"
"Will","Solace","September 25, 2005","Percy Jackson","Book","Solace, Will"
"Rachel","Dare","October 20, 1999","Percy Jackson","Book","Dare, Rachel"
"Cloud","Strife","September 19, 1996","Final Fantasy VII","Game","Strife, Cloud"
"Tifa","Lockhart","February 23, 2004","Final Fantasy VII","Game","Lockhart, Tifa"
"Aerith","Gainsborough","January 03, 1981","Final Fantasy VII","Game","Gainsborough, Aerith"
"Barret","Wallace","July 13, 1998","Final Fantasy VII","Game","Wallace, Barret"
"Sephiroth","Crescent","September 15, 2003","Final Fantasy VII","Game","Crescent, Sephiroth"
"Zack","Fair","October 09, 1970","Final Fantasy VII","Game","Fair, Zack"
"Vincent","Valentine","June 07, 1992","Final Fantasy VII","Game","Valentine, Vincent"
"Reeve","Tuesti","October 16, 1985","Final Fantasy VII","Game","Tuesti, Reeve"
